y,x1,x2,x3
-2.3114215883225055,-1.9510351886538364,-1.302179506862318,0.12784040316728537
5.462781732287077,-0.3162425923435822,-0.016801157504288795,-0.85304392757358
-5.773987,0.8793979748628286,0.7777919354289483,0.06603069756121605
0.3810974039756786,1.1272412069680329,0.4675093422520456,-0.8592924628832382
20.29891027320488,0.36875078408249884,-0.9588826008289989,0.8784503013072725
1.6287555319775837,-0.049925910986252896,-0.18486236354526056,-0.6809295444039414
0.9162526740218112,1.2225413386740303,-0.15452948206880215,-0.4283278221631072
7.715247564348312,-0.3521335504882296,0.5323091855533487,0.36544406436407834
12.259706308448601,0.4127326115959884,0.43082100300788273,2.1416476008704612
-5.773987,-0.4064150163846156,-0.5122427290715373,-0.8137727282478777
-5.773987,0.6159794225754956,1.1289722927208916,-0.11394745765487507
2.7351396731840407,-0.840156476962528,-0.8244812156912396,0.6505927878247011
-5.773987,0.7432541712034423,0.543154268305195,-0.6655097072886943
14.499338270263554,0.23216132306671977,0.11668580914072822,0.21868859672901295
-1.412265128692148,0.8714287779481898,0.22359554877468227,0.6789135630718949
-5.773987,0.06757906948889146,0.28911939868998415,0.6312882258385404
-5.773987,-1.4571558198556664,-0.31967121635730134,-0.4703726542927955
-5.773987,-0.6388778482433419,-0.27514225122668373,1.4949413112343959
-0.9734357283383916,-0.8658311156932432,0.9682783545914808,-1.6828697716158048
-0.009884469327043455,-0.33488502998577485,0.1627530651050056,0.5862223313592781
-2.4600260641146026,0.711226579792855,0.7933472351999252,-0.3487250722484376
13.077297271527751,-0.46235179266456716,0.8579758812571538,-0.1913043248816149
11.041450620844001,-1.2756863233379219,-1.1332872140034806,-0.9194522860016113
0.019804223674213528,0.49716074405376404,0.14242573607056525,0.6904853540677682
-5.773987,-0.42725264633653426,0.15853969107671423,0.6255903939673367
7.4768934985405595,-0.3093465397202384,0.45677523755741145,-0.6619259410666513
5.246544434893474,-0.3630538465650718,-0.3817378939983291,-1.1958396455890397
3.4072387716591317,0.4869724807855818,-0.46940234020272387,0.01249411872768743
11.958889337493066,0.48074665890590895,0.4465311760299441,0.6653851089727862
-5.773987,-0.09848548450942361,-0.42329831204415375,-0.07971821090639905
18.475947557062813,-1.6873344339580298,-1.4471124724230873,-1.3226996123544024
-5.773987,-0.9972468276014818,0.3997742267234366,-0.9054790553600608
10.262850796684678,-0.3781625540393897,1.2992282977860654,-0.35626397106142593
-5.773987,0.7375155684670865,-0.933617680009877,-0.20543755786763002
-5.773987,-0.9500220549105812,-0.3390330759005625,0.8403081374573955
17.492636027553583,-1.7273204231923487,0.43442364354585733,0.2377356023322779
-3.3851816660537293,-0.5941499556967944,-1.4460578543884546,0.07212950771386951
9.975504408812755,-0.5294927090638024,0.23267621135470395,0.02185214552344288
1.9224127293897113,1.6017788913209154,-0.23935562747302427,-1.023497492621865
1.3910143125576704,0.17927563495631615,0.21999668397176517,1.3591875752404365
16.19728394240496,0.8351112459145785,0.35687105914950934,1.4633028912195618
-2.6292879866466814,-1.188763054322851,-0.6397515327497477,-0.9265759414055249
-5.773987,-0.38980980315576796,-1.3766861475563088,0.6351509468144043
-5.773987,-0.22222269709877338,-1.4708062945026579,-1.0155790812075416
9.309656797277004,0.3135138474501953,0.8381265678943811,1.9967308916917865
4.151728666106253,2.9138624660073296,0.4144094332759964,-0.9895381200318641
-5.773987,-2.132046280731309,0.2677114623438358,-0.812941095310326
-5.773987,-0.41535726017968533,-0.6120967990598081,-0.14079088641638526
-4.88197541945751,1.0659802307876436,0.15704856744534462,-0.1586348370386883
-5.091746469968312,-1.0356537528258116,-1.674682944704357,-0.4863079090733309
-5.773987,-0.05378255081832049,1.767929913579883,0.13027452147288585
-5.773987,0.9827395110230576,-0.49929559853915206,-1.1849437664170246
-5.314213617874257,-0.9651167622323719,-0.7252260645357532,2.1284697324351645
9.501860640666687,-0.8213866792243861,0.838489203736345,-0.9029271780870264
9.38778973030591,0.9315730128742441,0.38495096610586316,-0.1566378976580904
-0.9393749672355548,-0.040762526135434025,-0.6547876954293904,0.44607220148208054
-5.480231354952398,-0.45498348034078,-1.2256057637672482,-1.2779375743196193
4.844216220714707,0.17258791772211948,1.579091256410435,0.15999161357343825
-5.599882846637554,-0.11863832610988256,0.2858261396025429,1.3060017417068248
-5.773987,0.21938250136385634,-0.41092723083373717,1.1062887100598888
-5.773987,0.4287564384616135,1.535755991995992,0.18323443722190613
-5.612056218128852,-1.2244690317205003,-1.368159199245665,1.6509279322312496
-5.773987,1.723665720783297,-0.17951921328260065,-0.38318732113598775
0.06481761500282035,1.4614442922422022,-1.107045682043488,-0.8947270189558264
7.6656345063642375,0.6433267946890444,-0.3946051228595896,-0.005121866720071296
-5.773987,-0.16344289852451258,0.33757454879893356,1.4074818613137168
0.6300712830305435,0.09058490690174555,0.6439387932768579,-2.0501721010310225
-3.2633641893283176,-0.04871840193011795,-0.8432302702928711,-1.218813060423628
4.969422855865623,-0.8781523669287508,-0.33412344070081207,0.9159025423560131
0.9524205737882102,-1.326392717739564,0.030631492594417446,-0.4841694333335785
-5.773987,-0.32767309436196085,1.0027578253046041,0.5381154370039261
-5.773987,1.3373981074427437,-0.15450567924990047,-0.695942611670703
1.9320254734353486,-0.22385881688049952,0.2424967912712216,0.17657335845371103
