y,x1,x2,x3
0.0,-1.9510351886538364,-1.302179506862318,0.12784040316728537
1.0,-0.3162425923435822,-0.016801157504288795,-0.85304392757358
1.0,0.8793979748628286,0.7777919354289483,0.06603069756121605
1.0,1.1272412069680329,0.4675093422520456,-0.8592924628832382
1.0,0.36875078408249884,-0.9588826008289989,0.8784503013072725
0.0,-0.049925910986252896,-0.18486236354526056,-0.6809295444039414
0.0,1.2225413386740303,-0.15452948206880215,-0.4283278221631072
1.0,-0.3521335504882296,0.5323091855533487,0.36544406436407834
1.0,0.4127326115959884,0.43082100300788273,2.1416476008704612
0.0,-0.4064150163846156,-0.5122427290715373,-0.8137727282478777
0.0,0.6159794225754956,1.1289722927208916,-0.11394745765487507
1.0,-0.840156476962528,-0.8244812156912396,0.6505927878247011
0.0,0.7432541712034423,0.543154268305195,-0.6655097072886943
1.0,0.23216132306671977,0.11668580914072822,0.21868859672901295
1.0,0.8714287779481898,0.22359554877468227,0.6789135630718949
1.0,0.06757906948889146,0.28911939868998415,0.6312882258385404
0.0,-1.4571558198556664,-0.31967121635730134,-0.4703726542927955
1.0,-0.6388778482433419,-0.27514225122668373,1.4949413112343959
1.0,-0.8658311156932432,0.9682783545914808,-1.6828697716158048
1.0,-0.33488502998577485,0.1627530651050056,0.5862223313592781
1.0,0.711226579792855,0.7933472351999252,-0.3487250722484376
1.0,-0.46235179266456716,0.8579758812571538,-0.1913043248816149
0.0,-1.2756863233379219,-1.1332872140034806,-0.9194522860016113
1.0,0.49716074405376404,0.14242573607056525,0.6904853540677682
1.0,-0.42725264633653426,0.15853969107671423,0.6255903939673367
0.0,-0.3093465397202384,0.45677523755741145,-0.6619259410666513
0.0,-0.3630538465650718,-0.3817378939983291,-1.1958396455890397
1.0,0.4869724807855818,-0.46940234020272387,0.01249411872768743
1.0,0.48074665890590895,0.4465311760299441,0.6653851089727862
0.0,-0.09848548450942361,-0.42329831204415375,-0.07971821090639905
0.0,-1.6873344339580298,-1.4471124724230873,-1.3226996123544024
1.0,-0.9972468276014818,0.3997742267234366,-0.9054790553600608
1.0,-0.3781625540393897,1.2992282977860654,-0.35626397106142593
1.0,0.7375155684670865,-0.933617680009877,-0.20543755786763002
1.0,-0.9500220549105812,-0.3390330759005625,0.8403081374573955
0.0,-1.7273204231923487,0.43442364354585733,0.2377356023322779
0.0,-0.5941499556967944,-1.4460578543884546,0.07212950771386951
1.0,-0.5294927090638024,0.23267621135470395,0.02185214552344288
0.0,1.6017788913209154,-0.23935562747302427,-1.023497492621865
1.0,0.17927563495631615,0.21999668397176517,1.3591875752404365
